zipcode,lat,lon
02045,42.28436,-70.88269
02047,42.13346,-70.68674
02048,42.01626,-71.21868
02050,42.11488,-70.71476
02052,42.18481,-71.305
02053,42.15352,-71.42904
02054,42.16933,-71.36255
02056,42.11637,-71.32963
02061,42.16074,-70.81774
02062,42.18604,-71.19492
02066,42.20146,-70.76181
02067,42.10811,-71.18143
02071,42.10278,-71.27208
02072,42.11922,-71.10188
02081,42.14651,-71.25883
02090,42.22025,-71.21068
02093,42.0513,-71.35522
02108,42.35767,-71.06505
02109,42.36474,-71.05301
02110,42.35831,-71.05175
02111,42.35007,-71.05911
02113,42.36542,-71.0554
02114,42.36316,-71.06732
02115,42.34108,-71.09458
02116,42.3506,-71.07566
02118,42.33818,-71.07072
02119,42.3241,-71.08483
02120,42.3321,-71.09637
02121,42.30589,-71.08586
02122,42.30007,-71.03352
02124,42.28572,-71.07105
02125,42.31544,-71.05594
02126,42.27434,-71.09383
02127,42.33479,-71.03901
02128,42.37268,-71.01652
02129,42.37975,-71.06169
02130,42.30986,-71.11487
02131,42.28463,-71.12653
02132,42.28025,-71.16145
02134,42.35787,-71.12941
02135,42.34981,-71.15386
02136,42.25533,-71.12934
02138,42.38004,-71.13463
02139,42.36253,-71.10302
02140,42.39327,-71.13323
02141,42.36999,-71.08265
02142,42.36195,-71.082
02143,42.38145,-71.09684
02144,42.40074,-71.12194
02145,42.39204,-71.08958
02148,42.43048,-71.0576
02149,42.40642,-71.05447
02150,42.39592,-71.03245
02151,42.41844,-71.00351
02152,42.37279,-70.97788
02155,42.42325,-71.10884
02163,42.36636,-71.12076
02169,42.24759,-71.00322
02170,42.26649,-71.01615
02171,42.28822,-71.02459
02176,42.45561,-71.05901
02180,42.47407,-71.09723
02184,42.20384,-71.00224
02186,42.24123,-71.08437
02188,42.20807,-70.95749
02189,42.20876,-70.9316
02190,42.16646,-70.95271
02191,42.24363,-70.94148
02199,42.34747,-71.08202
02203,42.3605,-71.05896
02210,42.34778,-71.03906
02215,42.34777,-71.10282
02301,42.07791,-71.04223
02302,42.08784,-70.99869
02322,42.12666,-71.04924
02324,41.97282,-70.97489
02330,41.87389,-70.75635
02332,42.0467,-70.71496
02333,42.03515,-70.94241
02338,41.99141,-70.86326
02339,42.1224,-70.85665
02341,42.05579,-70.87232
02343,42.14729,-71.00482
02346,41.88036,-70.87432
02347,41.83127,-70.95914
02351,42.11724,-70.95962
02356,42.05507,-71.12058
02357,42.05772,-71.08075
02359,42.06547,-70.80143
02360,41.87859,-70.63066
02364,41.98617,-70.74823
02366,41.85082,-70.65717
02367,41.96345,-70.80973
02368,42.17697,-71.05341
02370,42.12987,-70.91096
02375,42.01746,-71.10147
02379,42.02139,-71.02669
02382,42.07999,-70.93991
02420,42.45632,-71.21668
02421,42.43854,-71.24
02445,42.32597,-71.13397
02446,42.34356,-71.12167
02451,42.3982,-71.2571
02452,42.39357,-71.2196
02453,42.36913,-71.24024
02457,42.29838,-71.26836
02458,42.3528,-71.18748
02459,42.31493,-71.19174
02460,42.35196,-71.20831
02461,42.31682,-71.20848
02462,42.32988,-71.25607
02464,42.31287,-71.21958
02465,42.34917,-71.22668
02466,42.34411,-71.24806
02467,42.31641,-71.16118
02468,42.32731,-71.23076
02472,42.37,-71.17725
02474,42.42023,-71.1565
02476,42.41624,-71.17518
02478,42.39603,-71.17951
02481,42.31293,-71.27431
02482,42.29384,-71.29986
02492,42.27612,-71.24374
02493,42.35893,-71.30008
02494,42.29966,-71.23201
02532,41.75163,-70.59728
02534,41.66707,-70.61995
02535,41.34896,-70.74628
02536,41.59694,-70.56721
02537,41.72948,-70.44013
02538,41.77702,-70.64917
02539,41.37994,-70.53223
02540,41.57201,-70.62793
02542,41.70259,-70.54687
02543,41.49345,-70.73109
02553,41.71336,-70.61883
02554,41.28538,-70.0798
02556,41.63952,-70.62584
02557,41.4366,-70.58
02558,41.7448,-70.6535
02559,41.69165,-70.61522
02561,41.76886,-70.53319
02562,41.78718,-70.52691
02563,41.71962,-70.47801
02564,41.26529,-69.98433
02568,41.45264,-70.61758
02571,41.76357,-70.69795
02575,41.39991,-70.65451
02576,41.77807,-70.7637
02584,41.25883,-70.00735
02601,41.6603,-70.29682
02630,41.70462,-70.30329
02631,41.74684,-70.06941
02632,41.66055,-70.34749
02633,41.68892,-69.97227
02635,41.62373,-70.44049
02637,41.70571,-70.27238
02638,41.73226,-70.19362
02639,41.66634,-70.13529
02641,41.75059,-70.15222
02642,41.83957,-69.97697
02643,41.76568,-69.93648
02644,41.68422,-70.51024
02645,41.70422,-70.06083
02646,41.67079,-70.07194
02647,41.63184,-70.30805
02648,41.67072,-70.41636
02649,41.61764,-70.49053
02650,41.70342,-69.96591
02651,41.87506,-70.0034
02652,42.04411,-70.09475
02653,41.76877,-69.9739
02655,41.62995,-70.39258
02657,42.06139,-70.19814
02659,41.68305,-70.02231
02660,41.70546,-70.15434
02663,41.90675,-69.99739
02664,41.67465,-70.19465
02666,41.98943,-70.04569
02667,41.92791,-70.01815
02668,41.71178,-70.35675
02669,41.671,-69.9928
02670,41.65987,-70.1716
02671,41.6721,-70.11095
02672,41.63551,-70.31791
02673,41.6573,-70.24666
02675,41.70485,-70.23063
02702,41.78452,-71.06116
02703,41.93103,-71.29506
02713,41.43437,-70.87573
02715,41.81747,-71.15058
02717,41.75874,-70.97166
02718,41.86891,-71.01162
02719,41.63945,-70.87321
02720,41.73286,-71.11808
02721,41.67465,-71.14768
02723,41.69271,-71.12968
02724,41.68401,-71.17936
02725,41.71252,-71.18426
02726,41.76072,-71.14446
02738,41.70912,-70.76355
02739,41.66869,-70.81706
02740,41.63787,-70.93814
02743,41.71385,-70.90123
02744,41.60799,-70.91269
02745,41.69893,-70.94826
02746,41.6615,-70.94155
02747,41.66783,-71.01627
02748,41.5605,-70.97897
02760,41.97006,-71.33585
02762,42.01409,-71.33642
02763,41.96669,-71.30749
02764,41.85663,-71.16052
02766,41.96402,-71.18418
02767,41.93707,-71.05109
02769,41.84394,-71.24559
02770,41.75849,-70.84084
02771,41.83778,-71.31735
02777,41.75704,-71.21205
02779,41.83491,-71.07544
02780,41.90755,-71.11956
02790,41.5999,-71.08324
02791,41.52799,-71.07806
02802,41.95195,-71.45534
02804,41.43188,-71.77236
02806,41.74438,-71.31461
02807,41.17762,-71.57854
02808,41.40856,-71.74867
02809,41.68271,-71.2694
02812,41.4777,-71.65437
02813,41.39728,-71.67017
02814,41.89877,-71.69752
02815,41.77305,-71.65833
02816,41.69086,-71.61976
02817,41.62911,-71.66729
02818,41.6431,-71.49295
02822,41.56728,-71.63266
02825,41.78117,-71.72612
02826,41.97398,-71.63702
02827,41.69785,-71.73955
02828,41.87801,-71.55935
02830,41.98212,-71.64989
02831,41.75264,-71.58911
02832,41.50834,-71.72597
02833,41.48737,-71.77825
02835,41.51497,-71.3771
02836,41.45232,-71.62048
02837,41.51523,-71.16455
02838,41.96513,-71.47617
02839,41.94292,-71.64314
02840,41.47775,-71.32036
02841,41.51334,-71.32381
02842,41.51735,-71.2771
02852,41.58765,-71.46084
02857,41.82933,-71.632
02858,41.96345,-71.64835
02859,41.9667,-71.74522
02860,41.87003,-71.38838
02861,41.87853,-71.35227
02863,41.89005,-71.39344
02864,41.97039,-71.41978
02865,41.91265,-71.44847
02871,41.58397,-71.2563
02872,41.61718,-71.32886
02873,41.53107,-71.77576
02874,41.51543,-71.46877
02875,41.45559,-71.63814
02876,41.9962,-71.58207
02878,41.60908,-71.17412
02879,41.42671,-71.53626
02881,41.47893,-71.52341
02882,41.42483,-71.46856
02885,41.72826,-71.26282
02886,41.70572,-71.45857
02888,41.74861,-71.41036
02889,41.7057,-71.39206
02891,41.36026,-71.79357
02892,41.49598,-71.5969
02893,41.69855,-71.51538
02894,41.44727,-71.70055
02895,42.00101,-71.49934
02896,41.97241,-71.55109
02898,41.51526,-71.6757
02903,41.81805,-71.40901
02904,41.86037,-71.43541
02905,41.78722,-71.39887
02906,41.83919,-71.38994
02907,41.79826,-71.42551
02908,41.83915,-71.43685
02909,41.82026,-71.45145
02910,41.77563,-71.43574
02911,41.85475,-71.47355
02912,41.82561,-71.40224
02914,41.81371,-71.36504
02915,41.77759,-71.35015
02916,41.84456,-71.35203
02917,41.90648,-71.52458
02919,41.82737,-71.51998
02920,41.76739,-71.46603
02921,41.76213,-71.51729
03031,42.87036,-71.6079
03032,42.9906,-71.34378
03033,42.74641,-71.67057
03034,43.06357,-71.31141
03036,42.96717,-71.25087
03037,43.13972,-71.25258
03038,42.88877,-71.27988
03042,43.05005,-71.07478
03043,42.99406,-71.81349
03044,42.98868,-71.12527
03045,43.01994,-71.57006
03046,43.10184,-71.60561
03047,42.94007,-71.87022
03048,42.74826,-71.76185
03049,42.74942,-71.58344
03051,42.76391,-71.4071
03052,42.84284,-71.455
03053,42.8786,-71.38633
03054,42.85469,-71.51884
03055,42.81745,-71.6734
03057,42.90244,-71.68336
03060,42.74129,-71.45929
03062,42.72218,-71.49566
03063,42.77951,-71.51939
03064,42.77879,-71.47462
03070,42.97734,-71.68637
03071,42.74894,-71.87472
03076,42.7335,-71.32391
03077,43.03293,-71.19804
03079,42.79023,-71.22023
03082,42.90024,-71.77423
03084,42.82853,-71.85495
03086,42.82938,-71.77105
03087,42.80759,-71.29945
03101,42.98888,-71.46589
03102,43.00799,-71.49127
03103,42.95352,-71.44432
03104,43.00934,-71.44146
03106,43.07113,-71.43638
03109,42.96625,-71.4017
03110,42.94066,-71.53028
03215,43.9453,-71.45282
03216,43.44563,-71.79572
03217,43.7153,-71.63091
03218,43.33462,-71.28922
03220,43.46768,-71.47519
03221,43.25177,-71.96172
03222,43.6275,-71.78286
03223,43.84968,-71.68157
03224,43.34985,-71.55095
03225,43.35839,-71.23804
03226,43.70404,-71.5113
03227,43.82773,-71.46772
03229,43.19781,-71.69685
03230,43.52598,-71.87148
03231,43.46653,-71.75668
03233,43.4252,-71.93316
03234,43.2149,-71.33911
03235,43.44838,-71.67184
03237,43.42964,-71.38208
03238,43.98289,-71.89866
03240,43.57599,-71.97223
03241,43.72173,-71.81987
03242,43.17362,-71.82255
03243,43.52494,-71.76464
03244,43.11796,-71.91877
03245,43.75003,-71.58789
03246,43.57267,-71.47744
03249,43.55791,-71.38502
03251,44.08544,-71.57272
03253,43.63073,-71.49964
03254,43.7249,-71.37776
03255,43.31479,-72.02625
03256,43.62434,-71.63353
03257,43.41691,-71.9906
03258,43.25754,-71.39917
03259,43.87212,-71.3965
03260,43.35365,-71.92174
03261,43.2134,-71.2097
03262,43.99913,-71.73803
03263,43.29468,-71.311
03264,43.72976,-71.71127
03266,43.79033,-71.8961
03268,43.38648,-71.75655
03269,43.52789,-71.60144
03273,43.29904,-71.93209
03275,43.16019,-71.41793
03276,43.42788,-71.57503
03278,43.29332,-71.82604
03279,43.94318,-71.88139
03280,43.18285,-72.08934
03281,43.08126,-71.72208
03282,43.86011,-71.92931
03284,43.49281,-72.03075
03285,43.9241,-71.64359
03287,43.44516,-71.91669
03290,43.12459,-71.12075
03291,43.17918,-71.1427
03293,43.97001,-71.67824
03301,43.22434,-71.54337
03303,43.29814,-71.67194
03304,43.13079,-71.53069
03307,43.32541,-71.44365
03431,42.96264,-72.29556
03440,43.05397,-71.98233
03441,42.77999,-72.43847
03442,43.01242,-71.90819
03443,42.87707,-72.46162
03444,42.89433,-72.07224
03445,43.01434,-72.213
03446,42.86048,-72.29758
03447,42.75901,-72.14848
03448,43.03964,-72.27194
03449,42.97573,-71.9958
03450,42.94158,-72.09127
03451,42.8075,-72.49861
03452,42.82928,-72.05963
03455,42.89841,-72.18349
03456,43.13096,-72.21499
03457,42.99587,-72.12253
03458,42.86906,-71.93782
03461,42.75236,-72.01073
03462,42.8955,-72.40479
03464,43.07915,-72.11417
03465,42.82723,-72.19011
03466,42.89558,-72.50974
03467,42.96935,-72.43221
03470,42.77883,-72.34417
03561,44.33165,-71.81169
03570,44.49905,-71.15716
03574,44.25344,-71.59886
03575,44.29608,-71.42373
03576,44.91613,-71.38478
03579,44.96868,-71.03296
03580,44.16777,-71.70148
03581,44.33931,-71.13252
03582,44.59552,-71.43867
03583,44.39677,-71.46472
03584,44.48489,-71.54566
03585,44.22063,-71.89463
03586,44.22036,-71.79641
03588,44.61213,-71.20771
03590,44.74767,-71.51821
03592,45.12296,-71.26299
03593,44.31658,-71.30374
03595,44.30622,-71.5268
03597,44.73595,-71.39278
03598,44.37976,-71.63225
03601,43.2338,-72.29576
03602,43.13384,-72.33036
03603,43.25149,-72.38133
03604,43.128,-72.37984
03605,43.22739,-72.1814
03607,43.19552,-72.26883
03608,43.07068,-72.40643
03609,43.14464,-72.44529
03740,44.1807,-71.9828
03741,43.67188,-72.01584
03743,43.35826,-72.3253
03745,43.47011,-72.33239
03746,43.49432,-72.2574
03748,43.59369,-72.1139
03750,43.7076,-72.20263
03751,43.44896,-72.08876
03752,43.28921,-72.11523
03753,43.51701,-72.14972
03754,43.37746,-72.13839
03755,43.71777,-72.18929
03765,44.0343,-72.05286
03766,43.63467,-72.23724
03768,43.80527,-72.11572
03770,43.53407,-72.26647
03771,44.28502,-72.00934
03773,43.38524,-72.19935
03774,44.08904,-71.99508
03777,43.89512,-72.06962
03779,43.97237,-72.02873
03780,44.03228,-71.97743
03781,43.55276,-72.28405
03782,43.39093,-72.09279
03784,43.6368,-72.30594
03785,44.06384,-71.8941
